,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
0,0,0.0,0.0,0.0,0.0,3.3865907192230225
1,1,1.0,0.0019646366126835346,0.0,0.0,2.8234992027282715
2,2,2.0,0.003929273225367069,0.0,0.0,4.335376262664795
3,3,3.0,0.005893909838050604,0.0,0.0,1.6123218536376953
4,4,4.0,0.007858546450734138,0.0,0.0,2.117623805999756
5,5,5.0,0.009823182597756386,1.0,1.0,0.0033748839050531387
6,6,6.0,0.011787819676101208,1.0,1.0,0.005519479513168335
7,7,7.0,0.013752455823123455,1.0,1.0,0.0018570628017187119
8,8,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
9,9,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
10,10,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
11,11,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
12,12,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
13,13,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
14,14,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
15,15,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
16,16,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
17,17,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
18,18,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
19,19,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
20,0,0.0,0.0,0.0,0.0,3.3864381313323975
21,1,1.0,0.002288329415023327,0.0,0.0,2.8229751586914062
22,2,2.0,0.004576658830046654,0.0,0.0,4.335516929626465
23,3,3.0,0.006864988710731268,0.0,0.0,1.6110938787460327
24,4,4.0,0.009153317660093307,0.0,0.0,2.1166141033172607
25,5,5.0,0.011441648006439209,1.0,1.0,0.003270968794822693
26,6,6.0,0.013729977421462536,1.0,1.0,0.0052803885191679
27,7,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
28,8,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
29,9,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
30,10,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
31,11,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
32,12,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
33,13,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
34,14,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
35,15,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
36,16,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
37,17,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
38,18,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
39,19,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
40,0,0.0,0.0,1.0,1.0,0.36389610171318054
41,1,1.0,0.0625,1.0,1.0,0.06272478401660919
42,2,2.0,0.125,0.0,0.0,2.214259386062622
43,3,3.0,0.1875,0.0,0.0,1.2400667667388916
44,4,3.0,0.1875,0.0,0.0,1.2400667667388916
45,5,3.0,0.1875,0.0,0.0,1.2400667667388916
46,6,3.0,0.1875,0.0,0.0,1.2400667667388916
47,7,3.0,0.1875,0.0,0.0,1.2400667667388916
48,8,3.0,0.1875,0.0,0.0,1.2400667667388916
49,9,3.0,0.1875,0.0,0.0,1.2400667667388916
50,10,3.0,0.1875,0.0,0.0,1.2400667667388916
51,11,3.0,0.1875,0.0,0.0,1.2400667667388916
52,12,3.0,0.1875,0.0,0.0,1.2400667667388916
53,13,3.0,0.1875,0.0,0.0,1.2400667667388916
54,14,3.0,0.1875,0.0,0.0,1.2400667667388916
55,15,3.0,0.1875,0.0,0.0,1.2400667667388916
56,16,16.0,1.0,1.0,1.0,0.0
57,17,16.0,1.0,1.0,1.0,0.0
58,18,16.0,1.0,1.0,1.0,0.0
59,19,16.0,1.0,1.0,1.0,0.0
60,0,0.0,0.0,1.0,0.0,1.0735703706741333
61,1,1.0,0.005025125574320555,1.0,0.0,0.9967975616455078
