,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
0,0,0.0,0.0,0.0,0.0,4.221336364746094
1,1,1.0,0.1428571492433548,0.0,0.0,4.385486602783203
2,2,2.0,0.2857142984867096,0.0,0.0,3.8059866428375244
3,3,3.0,0.4285714328289032,0.0,0.0,3.3637518882751465
4,4,4.0,0.5714285969734192,0.0,0.0,2.1643309593200684
5,5,5.0,0.7142857313156128,1.0,1.0,0.014910418540239334
6,6,6.0,0.8571428656578064,1.0,1.0,1.424923539161682e-07
7,7,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
8,8,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
9,9,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
10,10,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
11,11,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
12,12,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
13,13,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
14,14,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
15,15,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
16,16,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
17,17,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
18,18,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
19,19,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
20,0,0.0,0.0,0.0,0.0,4.039405345916748
21,1,0.0,0.0,0.0,0.0,4.039405345916748
22,2,2.0,0.20000000298023224,0.0,0.0,3.633390188217163
23,3,3.0,0.30000001192092896,0.0,0.0,3.5563337802886963
24,4,3.0,0.30000001192092896,0.0,0.0,3.5563337802886963
25,5,5.0,0.5,0.0,0.0,3.3131802082061768
26,6,5.0,0.5,0.0,0.0,3.3131802082061768
27,7,7.0,0.699999988079071,1.0,1.0,0.00013864971697330475
28,8,8.0,0.800000011920929,1.0,1.0,1.3981014490127563e-05
29,9,8.0,0.800000011920929,1.0,1.0,1.3981014490127563e-05
30,10,10.0,1.0,1.0,1.0,1.862645149230957e-08
31,11,10.0,1.0,1.0,1.0,1.862645149230957e-08
32,12,10.0,1.0,1.0,1.0,1.862645149230957e-08
33,13,10.0,1.0,1.0,1.0,1.862645149230957e-08
34,14,10.0,1.0,1.0,1.0,1.862645149230957e-08
35,15,10.0,1.0,1.0,1.0,1.862645149230957e-08
36,16,10.0,1.0,1.0,1.0,1.862645149230957e-08
37,17,10.0,1.0,1.0,1.0,1.862645149230957e-08
38,18,10.0,1.0,1.0,1.0,1.862645149230957e-08
39,19,10.0,1.0,1.0,1.0,1.862645149230957e-08
40,0,0.0,0.0,0.0,0.0,4.230648994445801
41,1,1.0,0.125,0.0,0.0,4.394968509674072
42,2,2.0,0.25,0.0,0.0,4.270780563354492
43,3,3.0,0.375,0.0,0.0,3.372168779373169
44,4,4.0,0.5,0.0,0.0,2.171438455581665
45,5,5.0,0.625,0.0,0.0,2.1338250637054443
46,6,6.0,0.75,1.0,1.0,0.1681196093559265
47,7,7.0,0.875,1.0,1.0,0.0008804984390735626
48,8,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
49,9,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
50,10,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
51,11,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
52,12,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
53,13,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
54,14,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
55,15,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
56,16,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
57,17,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
58,18,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
59,19,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
60,0,0.0,0.0,0.0,0.0,4.230648994445801
61,1,1.0,0.125,0.0,0.0,4.394968509674072
62,2,2.0,0.25,0.0,0.0,4.270780563354492
63,3,3.0,0.375,0.0,0.0,3.372168779373169
64,4,4.0,0.5,0.0,0.0,2.171438455581665
65,5,5.0,0.625,0.0,0.0,2.1338250637054443
66,6,6.0,0.75,1.0,1.0,0.1681196093559265
67,7,7.0,0.875,1.0,1.0,0.0008804984390735626
68,8,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
69,9,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
70,10,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
71,11,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
72,12,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
73,13,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
74,14,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
75,15,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
76,16,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
77,17,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
78,18,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
79,19,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
80,0,0.0,0.0,0.0,0.0,4.230648994445801
81,1,1.0,0.125,0.0,0.0,4.394968509674072
82,2,2.0,0.25,0.0,0.0,4.270780563354492
83,3,3.0,0.375,0.0,0.0,3.372168779373169
84,4,4.0,0.5,0.0,0.0,2.171438455581665
85,5,5.0,0.625,0.0,0.0,2.1338253021240234
86,6,6.0,0.75,1.0,1.0,0.1681186705827713
87,7,7.0,0.875,1.0,1.0,0.0008804984390735626
88,8,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
89,9,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
90,10,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
91,11,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
92,12,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
93,13,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
94,14,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
95,15,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
