,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
0,0,0.0,0.0,0.0,0.0,3.3865907192230225
1,1,1.0,0.0019646366126835346,0.0,0.0,3.3865907192230225
2,2,2.0,0.003929273225367069,0.0,0.0,3.3865907192230225
3,3,3.0,0.005893909838050604,0.0,0.0,3.3865907192230225
4,4,4.0,0.007858546450734138,0.0,0.0,3.3865907192230225
5,5,5.0,0.009823182597756386,0.0,0.0,3.3865907192230225
6,6,6.0,0.011787819676101208,0.0,0.0,3.3865907192230225
7,7,7.0,0.013752455823123455,0.0,0.0,3.3865907192230225
8,8,8.0,0.015717092901468277,0.0,0.0,3.3865907192230225
9,9,9.0,0.017681729048490524,0.0,0.0,3.3865907192230225
10,10,10.0,0.01964636519551277,0.0,0.0,3.3865907192230225
11,11,11.0,0.02161100134253502,0.0,0.0,3.3865907192230225
12,12,12.0,0.023575639352202415,0.0,0.0,3.3865907192230225
13,13,13.0,0.025540275499224663,0.0,0.0,3.3865907192230225
14,14,14.0,0.02750491164624691,0.0,0.0,3.3865907192230225
15,15,15.0,0.029469547793269157,0.0,0.0,3.3865907192230225
16,16,16.0,0.031434185802936554,0.0,0.0,3.3865907192230225
17,17,17.0,0.0333988219499588,0.0,0.0,3.3865907192230225
18,18,18.0,0.03536345809698105,0.0,0.0,3.3865907192230225
19,19,19.0,0.037328094244003296,0.0,0.0,3.3865907192230225
20,0,0.0,0.0,0.0,0.0,3.3864376544952393
21,1,1.0,0.002288329415023327,0.0,0.0,3.3864376544952393
22,2,2.0,0.004576658830046654,0.0,0.0,3.3864376544952393
23,3,3.0,0.006864988710731268,0.0,0.0,3.3864376544952393
24,4,4.0,0.009153317660093307,0.0,0.0,3.3864376544952393
25,5,5.0,0.011441648006439209,0.0,0.0,3.3864376544952393
26,6,6.0,0.013729977421462536,0.0,0.0,3.3864376544952393
27,7,7.0,0.016018306836485863,0.0,0.0,3.3864376544952393
28,8,8.0,0.018306635320186615,0.0,0.0,3.3864376544952393
29,9,9.0,0.020594965666532516,0.0,0.0,3.3864376544952393
30,10,10.0,0.022883296012878418,0.0,0.0,3.3864376544952393
31,11,11.0,0.02517162449657917,0.0,0.0,3.3864376544952393
32,12,12.0,0.02745995484292507,0.0,0.0,3.3864376544952393
33,13,13.0,0.029748283326625824,0.0,0.0,3.3864376544952393
34,14,14.0,0.032036613672971725,0.0,0.0,3.3864376544952393
35,15,15.0,0.03432494401931763,0.0,0.0,3.3864376544952393
36,16,16.0,0.03661327064037323,0.0,0.0,3.942744016647339
37,17,17.0,0.03890160098671913,0.0,0.0,3.942744016647339
38,18,18.0,0.04118993133306503,0.0,0.0,3.942744016647339
39,19,19.0,0.043478261679410934,0.0,0.0,3.942744016647339
40,0,0.0,0.0,1.0,1.0,0.3638962209224701
41,1,1.0,0.0625,1.0,1.0,0.3638962209224701
42,2,2.0,0.125,0.0,0.0,2.214259147644043
43,3,3.0,0.1875,0.0,0.0,2.214259147644043
44,4,4.0,0.25,0.0,0.0,1.8497724533081055
45,5,5.0,0.3125,0.0,0.0,1.8497724533081055
46,6,6.0,0.375,0.0,0.0,0.8951748609542847
47,7,7.0,0.4375,1.0,1.0,0.015401918441057205
48,8,8.0,0.5,1.0,1.0,0.015401918441057205
49,9,9.0,0.5625,1.0,1.0,0.015401918441057205
50,10,10.0,0.625,1.0,1.0,0.015401918441057205
51,11,11.0,0.6875,1.0,1.0,0.015401918441057205
52,12,12.0,0.75,1.0,1.0,0.015401918441057205
53,13,13.0,0.8125,1.0,1.0,0.015401918441057205
54,14,14.0,0.875,1.0,1.0,0.015401918441057205
55,15,15.0,0.9375,1.0,1.0,0.015401918441057205
56,16,16.0,1.0,1.0,1.0,-7.450580596923828e-09
57,17,16.0,1.0,1.0,1.0,-7.450580596923828e-09
58,18,16.0,1.0,1.0,1.0,-7.450580596923828e-09
59,19,16.0,1.0,1.0,1.0,-7.450580596923828e-09
60,0,0.0,0.0,1.0,0.0,1.0735702514648438
61,1,1.0,0.005025125574320555,1.0,0.0,0.9967964887619019
62,2,2.0,0.01005025114864111,0.0,1.0,0.2163798213005066
63,3,3.0,0.015075377188622952,0.0,1.0,0.3313484787940979
64,4,4.0,0.02010050229728222,0.0,1.0,0.38319361209869385
65,5,5.0,0.02512562833726406,1.0,0.0,0.326665461063385
66,6,6.0,0.030150754377245903,1.0,0.0,0.9624474048614502
67,7,7.0,0.035175878554582596,1.0,0.0,1.7058430910110474
68,8,8.0,0.04020100459456444,1.0,0.0,1.7058430910110474
69,9,9.0,0.04522613063454628,1.0,0.0,1.7058430910110474
70,10,10.0,0.05025125667452812,1.0,0.0,1.7058430910110474
71,11,11.0,0.055276382714509964,1.0,0.0,1.7058430910110474
72,12,12.0,0.060301508754491806,1.0,0.0,1.7058430910110474
73,13,13.0,0.06532663106918335,1.0,0.0,1.7058430910110474
74,14,14.0,0.07035175710916519,1.0,0.0,1.7058430910110474
75,15,15.0,0.07537688314914703,1.0,0.0,1.7058430910110474
76,16,16.0,0.08040200918912888,1.0,0.0,1.7058430910110474
77,17,17.0,0.08542713522911072,1.0,0.0,1.7058430910110474
78,18,18.0,0.09045226126909256,1.0,0.0,1.7058430910110474
79,19,19.0,0.0954773873090744,1.0,0.0,1.7058430910110474
80,0,0.0,0.0,0.0,0.0,3.2695138454437256
81,1,1.0,0.0019342360319569707,0.0,0.0,3.2695138454437256
82,2,2.0,0.0038684720639139414,0.0,0.0,3.2695138454437256
83,3,3.0,0.005802707746624947,0.0,0.0,2.7325565814971924
84,4,4.0,0.007736944127827883,1.0,1.0,0.22738324105739594
85,5,5.0,0.009671179577708244,1.0,1.0,0.33332714438438416
86,6,6.0,0.011605415493249893,1.0,1.0,0.33332714438438416
87,7,7.0,0.013539651408791542,1.0,1.0,0.33332714438438416
88,8,8.0,0.015473888255655766,1.0,1.0,0.33332714438438416
89,9,9.0,0.01740812323987484,0.0,0.0,2.542726993560791
90,10,10.0,0.01934235915541649,0.0,0.0,2.542726993560791
91,11,11.0,0.021276595070958138,0.0,0.0,2.542726993560791
92,12,12.0,0.023210830986499786,0.0,0.0,2.542726993560791
93,13,13.0,0.025145066902041435,1.0,1.0,0.00912432186305523
94,14,14.0,0.027079302817583084,1.0,1.0,0.00912432186305523
